OBJECTID,OBJECTID_1,UWI,Source,API_Number,IC_Number,Operator_Name,Current_Operator_Name,Lease_Name,Well_Num,Field_Name,State_Name,County_Name,OS_Indicator,Hole_Direction,Well_Status,Current_Status,Geologic_Province_Name,Play_Name,Play_Type,Permit_Number,Permit_Date,Depth_Total_Driller,Depth_Total_Logger,Depth_True_Vertical,Depth_Whipstock,Class_Initial_Name,Class_Initial_Code,Class_Final_Name,Class_Final_Code,Status_Final_Code,Formation_Projected_Name,Depth_Total_Projected,Top_Source,Interpreter,Formation_at_TD_Name,Formation_Producing_Name,Elevation_Reference_Value,Elevation_Reference_Datum,Ground_Elevation,Date_First_Spud,Date_Spud,Date_Completion,Date_Rig_Release,Date_Abandonment,Date_First_Report,Date_Last_Activity,Depth_Water_Value,Depth_Water_Datum,Surface_Latitude,Surface_Longitude,Surface_LL_Source,Proposed_BH_Latitude,Proposed_BH_Longitude,Proposed_BH_LL_Source,BH_Latitude,BH_Longitude,BH_LL_Source,Activity_Code,Permit_Filer_Long,Permit_Phone,BH_lat,BH_long
1,129937,35049000340000.000000000000000,PI,35049000340000.000000000000000,,DAVON OIL CO,DAVON OIL COMPANY,LEE LAYTON,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,,SO OKLA FOLDED BELT,,,,12/22/1948 00:00:00,7427.000000000000000,7430,,,WILDCAT OUTPOST,WO,NEW POOL WILDCAT-DISCOVERY,WPD,1,,,PI,,CANEY,HART /GOLDEN TREND/,1137.000000000000000,DF,,,1/1/1949 00:00:00,2/11/1949 00:00:00,,,2/15/1949 00:00:00,10/15/2014 00:00:00,,,34.681878900000001,-97.462919700000000,IH,,,,,,,D,,,,
2,129950,35049000460000.000000000000000,PI,35049000460000.000000000000000,,STANOLND OIL CO,STANOLIND OIL,POTTS,1,UNNAMED,OKLAHOMA,GARVIN,,VERTICAL,D&A-OG,,SO OKLA FOLDED BELT,,,,9/20/1956 00:00:00,12015.000000000000000,,,,NEW POOL WILDCAT,WP,NEW POOL WILDCAT-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WP,0,OIL CREEK LOWER,11500.000000000000000,PI,,OIL CREEK LOWER,,1068.000000000000000,KB,1054.000000000000000,,9/30/1956 00:00:00,3/1/1957 00:00:00,,,3/15/1957 00:00:00,10/15/2014 00:00:00,,,34.599453699999998,-97.481597800000003,IH,,,,,,,D,,,,
3,129962,35049000610000.000000000000000,PI,35049000610000.000000000000000,,PARKER G C,MERIT ENERGY COMPANY,CANTRELL,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,4/14/1955 00:00:00,9025.000000000000000,9013,,,WILDCAT OUTPOST,WO,SUCCESSFUL OUTPOST EXTENSION,WOE,1,,8900.000000000000000,PI,,HART LOWER /GOLDEN TREND/,HART UPPER /GOLDEN TREND,1153.000000000000000,DF,1143.000000000000000,,4/24/1955 00:00:00,7/6/1955 00:00:00,,4/26/1976 00:00:00,7/15/1955 00:00:00,7/21/2014 00:00:00,,,34.726538300000001,-97.591214800000003,IH,,,,,,,D,,,,
4,129974,35049000740000.000000000000000,PI,35049000740000.000000000000000,,HUMPHREY OIL & DEV,ANSON CORPORATION,O L LEDGERWOOD,1,MAYSVILLE EAST,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,11/17/1955 00:00:00,7484.000000000000000,,,,NEW POOL WILDCAT,WP,NEW POOL WILDCAT-DISCOVERY,WPD,1,UNKNOWN,,PI,,BROMIDE,BROMIDE 1,965.000000000000000,KB,956.000000000000000,,11/27/1955 00:00:00,2/29/1956 00:00:00,,10/18/1970 00:00:00,2/15/1956 00:00:00,2/11/2015 00:00:00,,,34.823383200000002,-97.439263400000002,IH,,,,,,,D,,,,
5,129975,35049000740001.000000000000000,PI,35049000740001.000000000000000,,AN-SON CORPORATION,ANSON CORPORATION,LEDGERWOOD,1-A,MAYSVILLE EAST,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,12/22/1955 00:00:00,7484.000000000000000,,,,NEW POOL WILDCAT RECOMPLETION,WPX,NEW POOL WILDCAT-DISCOVERY,WPD,1,,,,,BROMIDE,VIOLA,965.000000000000000,KB,956.000000000000000,,1/1/1956 00:00:00,8/22/1956 00:00:00,,10/18/1970 00:00:00,8/15/1956 00:00:00,6/25/2015 00:00:00,,,34.823383200000002,-97.439263400000002,IH,,,,,,,D,,,,
6,129976,35049000740002.000000000000000,PI,35049000740002.000000000000000,,AN-SON CORPORATION,ANSON CORPORATION,LEDGERWOOD A,1,MAYSVILLE EAST,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,12/22/1957 00:00:00,7484.000000000000000,,,,NEW POOL WILDCAT RECOMPLETION,WPX,NEW POOL WILDCAT-DISCOVERY,WPD,1,,,,,BROMIDE,GIBSON,965.000000000000000,KB,956.000000000000000,,1/1/1958 00:00:00,10/14/1958 00:00:00,,10/18/1970 00:00:00,10/15/1958 00:00:00,6/25/2015 00:00:00,,,34.823383200000002,-97.439263400000002,IH,,,,,,,D,,,,
7,129977,35049000750000.000000000000000,PI,35049000750000.000000000000000,,SUPERIOR OIL CO ETAL,ALPINE OIL & GAS INCORPORATED,GLOVER,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,8/28/1955 00:00:00,8527.000000000000000,8523,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,OIL CREEK,BROMIDE,955.000000000000000,KB,940.000000000000000,,9/7/1955 00:00:00,11/16/1955 00:00:00,,1/3/1992 00:00:00,11/15/1955 00:00:00,1/20/2015 00:00:00,,,34.837963199999997,-97.441496200000003,IH,,,,,,,D,,,,
8,129978,35049000750001.000000000000000,PI,35049000750001.000000000000000,,SUPERIOR OIL CO ETAL,SUPERIOR OIL COMPANY THE,GLOVER,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,,SO OKLA FOLDED BELT,,,,12/22/1956 00:00:00,8527.000000000000000,,,,DEVELOPMENT RECOMPLETION,D X,DEVELOPMENT WELL-OIL,DO,1,,,PI,,OIL CREEK,BROMIDE,955.000000000000000,KB,940.000000000000000,,1/1/1957 00:00:00,1/24/1957 00:00:00,,1/3/1992 00:00:00,4/3/1997 00:00:00,6/25/2015 00:00:00,,,34.837963199999997,-97.441496200000003,IH,,,,,,,D,,,,
9,129979,35049000750002.000000000000000,PI,35049000750002.000000000000000,,SUPERIOR OIL CO ETAL,SUPERIOR OIL COMPANY THE,GLOVER,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,,SO OKLA FOLDED BELT,,,,12/22/1957 00:00:00,8527.000000000000000,,,,DEVELOPMENT RECOMPLETION,D X,DEVELOPMENT WELL-OIL,DO,4,,,PI,,OIL CREEK,BROMIDE,955.000000000000000,KB,940.000000000000000,,1/1/1958 00:00:00,6/28/1958 00:00:00,,1/3/1992 00:00:00,4/3/1997 00:00:00,6/25/2015 00:00:00,,,34.837963199999997,-97.441496200000003,IH,,,,,,,D,,,,
10,129984,35049000800000.000000000000000,PI,35049000800000.000000000000000,,OHIO OIL CO THE,DALE GEORGE,LEFLORE W P,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,A,SO OKLA FOLDED BELT,,,,12/2/1955 00:00:00,7769.000000000000000,7767,,,NEW POOL WILDCAT,WP,NEW POOL WILDCAT-DISCOVERY,WPD,1,UNKNOWN,,PI,,SPRINGER,GIBSON,1048.000000000000000,KB,,,12/12/1955 00:00:00,2/1/1956 00:00:00,,,2/15/1956 00:00:00,10/13/2014 00:00:00,,,34.591980599999999,-97.420109600000004,IH,,,,,,,D,,,,
11,129989,35049000890000.000000000000000,PI,35049000890000.000000000000000,,SINCLAIR OIL & GAS C,MERIT ENERGY COMPANY,ARTHUR W JONES,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,A,SO OKLA FOLDED BELT,,,,8/19/1954 00:00:00,10425.000000000000000,10425,,,NEW POOL WILDCAT,WP,NEW POOL WILDCAT-DISCOVERY,WPD,1,,10200.000000000000000,PI,,CUNNINGHAM,HART /GOLDEN TREND/,1085.000000000000000,KB,1071.000000000000000,,8/29/1954 00:00:00,1/5/1955 00:00:00,,,1/15/1955 00:00:00,11/11/2014 00:00:00,,,34.788265899999999,-97.639722300000003,IH,,,,,,,D,,,,
12,129998,35049000970000.000000000000000,PI,35049000970000.000000000000000,,CITIES SERVICE,HOLLOWAY MARK INCORPORATED,MCCOY,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,A,SO OKLA FOLDED BELT,,,,12/22/1954 00:00:00,8900.000000000000000,8797,,,WILDCAT OUTPOST,WO,SUCCESSFUL OUTPOST EXTENSION,WOE,1,,9100.000000000000000,PI,,UNKNOWN,HART /GOLDEN TREND/,996.000000000000000,KB,984.000000000000000,,1/1/1955 00:00:00,1/26/1955 00:00:00,,,1/15/1955 00:00:00,10/15/2014 00:00:00,,,34.824473099999999,-97.635486299999997,IH,,,,,,,D,,,,
13,130006,35049001030000.000000000000000,PI,35049001030000.000000000000000,,PETROLEUM INC,QUESTAR ENERGY TRADING COMPANY,MERRITT,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,2OIL,A,SO OKLA FOLDED BELT,,,,3/24/1958 00:00:00,7531.000000000000000,7531,,,WILDCAT OUTPOST,WO,SUCCESSFUL OUTPOST EXTENSION,WOE,4,,7475.000000000000000,PI,,UNKNOWN,BROMIDE,961.000000000000000,KB,950.000000000000000,,4/3/1958 00:00:00,5/27/1958 00:00:00,,,5/15/1958 00:00:00,5/26/2015 00:00:00,,,34.848909300000003,-97.437057800000005,IH,,,,,,,D,,,,
14,130021,35049001230000.000000000000000,PI,35049001230000.000000000000000,,PHILLIPS PETRLM CO,PHILLIPS PETROLEUM COMPANY,MARVIN B,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,D&A,,SO OKLA FOLDED BELT,,,,8/7/1955 00:00:00,12156.000000000000000,12156,,,NEW POOL WILDCAT,WP,NEW POOL WILDCAT-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WP,0,UNKNOWN,,PI,,UNKNOWN,,1030.000000000000000,KB,1015.150000000000000,,8/17/1955 00:00:00,1/12/1956 00:00:00,,,1/15/1956 00:00:00,1/16/2015 00:00:00,,,34.715240999999999,-97.499065200000004,IH,,,,,,,D,,,,
15,130022,35049001230001.000000000000000,PI,35049001230001.000000000000000,,RED ROCKS OIL&GAS OP,RED ROCKS OIL & GAS OPERATING LLC,MARVIN `B`,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,AT-TD,,SO OKLA FOLDED BELT,,,,10/12/2012 00:00:00,12436.000000000000000,,,,DEVELOPMENT DEEPENING,D D,,,T,BROMIDE,12436.000000000000000,,,,,1030.000000000000000,KB,1014.000000000000000,,10/18/2012 00:00:00,,10/29/2012 00:00:00,,10/15/2012 00:00:00,5/28/2014 00:00:00,,,34.715240999999999,-97.499065200000004,IH,,,,,,,B,,4056003065.000000000000000,,
16,130033,35049001450000.000000000000000,PI,35049001450000.000000000000000,,STANOLIND ET AL,MERIT ENERGY COMPANY,KING UNIT D,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,A,SO OKLA FOLDED BELT,,,,4/23/1955 00:00:00,9203.000000000000000,9203,,,WILDCAT OUTPOST,WO,SUCCESSFUL OUTPOST EXTENSION,WOE,1,,,PI,,UNKNOWN,HART LOWER /GOLDEN TREND/,1171.000000000000000,DF,1160.000000000000000,,5/3/1955 00:00:00,7/6/1955 00:00:00,,,7/15/1955 00:00:00,10/29/2014 00:00:00,,,34.748535500000003,-97.617477500000007,IH,,,,,,,D,,,,
17,130036,35049001470000.000000000000000,PI,35049001470000.000000000000000,,PETROLEUM INC,PETROLEUM INCORPORATED,MERRIT UNIT,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,,SO OKLA FOLDED BELT,,,,8/31/1958 00:00:00,7450.000000000000000,,,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,UNKNOWN,,PI,,BROMIDE 1,,959.000000000000000,KB,948.000000000000000,,9/10/1958 00:00:00,10/28/1958 00:00:00,,1/3/1970 00:00:00,10/15/1958 00:00:00,1/13/2015 00:00:00,,,34.843490899999999,-97.439285400000003,IH,,,,,,,D,,,,
18,130045,35049001570000.000000000000000,PI,35049001570000.000000000000000,,TRICE PRODUCTION CO,TRICE PRODUCTION COMPANY,BESSIE SHI,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,D&A,,SO OKLA FOLDED BELT,,,,11/29/1958 00:00:00,7633.000000000000000,7634,,,WILDCAT OUTPOST,WO,WILDCAT OUTPOST-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WO,0,,,PI,,BROMIDE,,969.000000000000000,KB,957.000000000000000,,12/9/1958 00:00:00,1/23/1959 00:00:00,,,1/15/1959 00:00:00,11/11/2014 00:00:00,,,34.850505200000001,-97.441548699999998,IH,,,,,,,D,,,,
19,130055,35049001630000.000000000000000,PI,35049001630000.000000000000000,,CARTER OIL COMPANY,R & D OIL COMPANY,BURFORD C-148,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,P,SO OKLA FOLDED BELT,,,,7/1/1946 00:00:00,7905.000000000000000,,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,BROMIDE,HOXBAR,906.000000000000000,DF,,,7/11/1946 00:00:00,11/5/1946 00:00:00,,,1/15/1973 00:00:00,11/11/2014 00:00:00,,,34.592001600000003,-97.332602399999999,IH,,,,,,,D,,,,
20,130056,35049001650000.000000000000000,PI,35049001650000.000000000000000,,VICKERS PETROLEUM CO,CHAPARRAL ENERGY LIMITED LIABILITY CORP,GIBSON,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,10/16/1945 00:00:00,7760.000000000000000,7753,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,BROMIDE 1,,1084.000000000000000,DF,,,10/26/1945 00:00:00,3/12/1946 00:00:00,,11/30/1967 00:00:00,3/15/1946 00:00:00,7/28/2014 00:00:00,,,34.704628100000001,-97.442391000000001,IH,,,,,,,D,,,,
21,130057,35049001660000.000000000000000,PI,35049001660000.000000000000000,,DEARING & SONS ETAL,DEARING & SONS,MC BRIDE,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,,SO OKLA FOLDED BELT,,,,1/23/1946 00:00:00,6666.000000000000000,6640,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,SYLVAN,,1035.000000000000000,DF,,,2/2/1946 00:00:00,4/16/1946 00:00:00,,7/21/1988 00:00:00,4/15/1946 00:00:00,2/6/2015 00:00:00,,,34.796294899999999,-97.453954199999998,IH,,,,,,,D,,,,
22,130058,35049001660001.000000000000000,PI,35049001660001.000000000000000,,DEARING & SONS ETAL,DEARING INCORPORATED,MC BRIDE,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-GW,P,SO OKLA FOLDED BELT,,,,12/22/1945 00:00:00,6666.000000000000000,6640,,,DEVELOPMENT RECOMPLETION,D X,DEVELOPMENT WELL-GAS,DG,2,,,,,SYLVAN,,1035.000000000000000,DF,,,1/1/1946 00:00:00,6/11/1946 00:00:00,,7/21/1988 00:00:00,6/15/1946 00:00:00,6/25/2015 00:00:00,,,34.796294899999999,-97.453954199999998,IH,,,,,,,D,,,,
23,130062,35049001700000.000000000000000,PI,35049001700000.000000000000000,,CARTER OIL COMPANY,SINCLAIR OIL & GAS COMPANY,BRADSHAW,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,3/5/1947 00:00:00,9371.000000000000000,9365,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,UNKNOWN,DEESE,1063.000000000000000,KB,1052.000000000000000,,3/15/1947 00:00:00,9/16/1947 00:00:00,,5/12/1972 00:00:00,9/15/1947 00:00:00,2/4/2015 00:00:00,,,34.846152400000001,-97.516848199999998,IH,,,,,,,D,,,,
24,130066,35049001730000.000000000000000,PI,35049001730000.000000000000000,,ANDERSON-PRCHRD OIL,CLAMPITT R L & ASSOCIATE INCORPORATED,SEATON,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,A,SO OKLA FOLDED BELT,,,,1/11/1947 00:00:00,6507.000000000000000,6507,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,MAYES,DEESE,1024.000000000000000,DF,,,1/21/1947 00:00:00,4/1/1947 00:00:00,,,4/15/1947 00:00:00,11/11/2014 00:00:00,,,34.645874200000002,-97.379736899999997,IH,,,,,,,D,,,,
25,130067,35049001740000.000000000000000,PI,35049001740000.000000000000000,,PRAY MAX ETAL,MERIT ENERGY COMPANY,MARTIN,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,A,SO OKLA FOLDED BELT,,,,6/28/1946 00:00:00,10320.000000000000000,10318,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,TULIP CREEK,HUNTON,974.000000000000000,DF,,,7/8/1946 00:00:00,2/11/1947 00:00:00,,,1/15/1973 00:00:00,11/6/2014 00:00:00,,,34.853425899999998,-97.565048899999994,IH,,,,,,,D,,,,
26,130068,35049001740001.000000000000000,PI,35049001740001.000000000000000,,MERIT ENERGY COMPANY,MERIT ENERGY COMPANY,MARTIN-ROSE,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,GAS-WO,,SO OKLA FOLDED BELT,WOODFORD/CANA GAS,SHALE GAS (G),,1/26/2004 00:00:00,10320.000000000000000,,,,DEVELOPMENT RECOMPLETION,D X,DEVELOPMENT WELL-GAS,DG,2,WOODFORD,8370.000000000000000,,,TULIP CREEK,SYCAMORE,974.000000000000000,DF,,,2/5/2004 00:00:00,3/5/2004 00:00:00,,,3/3/2004 00:00:00,2/5/2015 00:00:00,,,34.853425899999998,-97.565048899999994,IH,,,,,,,D,,9726281569.000000000000000,,
27,130070,35049001760000.000000000000000,PI,35049001760000.000000000000000,,VICKERS PETROLEUM CO,MOORE-MOORE ENERGY INCORPORATED,PARKS,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,4/26/1951 00:00:00,10016.000000000000000,10018,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,SPRINGER,SPRINGER,1141.000000000000000,KB,1131.000000000000000,,5/6/1951 00:00:00,1/4/1952 00:00:00,,10/12/1976 00:00:00,12/15/1951 00:00:00,1/9/2015 00:00:00,,,34.678190800000003,-97.550491699999995,IH,,,,,,,D,,,,
28,130071,35049001770000.000000000000000,PI,35049001770000.000000000000000,,SUPERIOR OIL CO ETAL,SUPERIOR OIL COMPANY THE,MCDANIEL,1,WILDCAT,OKLAHOMA,GARVIN,,VERTICAL,D&A-OG,P,SO OKLA FOLDED BELT,,,,9/13/1947 00:00:00,12549.000000000000000,12549,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WF,0,UNKNOWN,,PI,,JOINS / LM/,,996.000000000000000,KB,983.000000000000000,,9/23/1947 00:00:00,6/1/1948 00:00:00,,4/16/1973 00:00:00,3/15/1973 00:00:00,2/11/2015 00:00:00,,,34.817341200000001,-97.613428200000001,IH,,,,,,,D,,,,
29,130072,35049001770001.000000000000000,PI,35049001770001.000000000000000,,SUPERIOR OIL CO ETAL,SUPERIOR OIL COMPANY THE,MCDANIEL,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,12/22/1950 00:00:00,12549.000000000000000,8202,,,NEW FIELD WILDCAT RECOMPLETION,WFX,NEW FIELD WILDCAT-DISCOVERY,WFD,1,,,PI,,JOINS / LM/,GIBSON,996.000000000000000,KB,983.000000000000000,,1/1/1951 00:00:00,1/3/1951 00:00:00,,4/16/1973 00:00:00,3/15/1973 00:00:00,6/25/2015 00:00:00,,,34.817341200000001,-97.613428200000001,IH,,,,,,,D,,,,
30,130075,35049001800000.000000000000000,PI,35049001800000.000000000000000,,CONTINENTAL OIL CO,CONTINENTAL RESOURCES INCORPORATED,ROSE-VOSE,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,4/3/1948 00:00:00,8645.000000000000000,8642,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,UNKNOWN,DEESE 4,1270.000000000000000,DF,,,4/13/1948 00:00:00,9/8/1948 00:00:00,,10/1/1980 00:00:00,9/15/1948 00:00:00,2/3/2015 00:00:00,,,34.679125599999999,-97.499068199999996,IH,,,,,,,D,,,,
31,130076,35049001810000.000000000000000,PI,35049001810000.000000000000000,,CARTER OIL COMPANY,HUMBLE OIL COMPANY,PICKETT-HUFFMAN,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,7/21/1948 00:00:00,7940.000000000000000,7933,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,SPRINGER,DEESE 4,1168.000000000000000,KB,1154.000000000000000,,7/31/1948 00:00:00,11/3/1948 00:00:00,,1/18/1967 00:00:00,11/15/1948 00:00:00,1/16/2015 00:00:00,,,34.636542599999999,-97.476093599999999,IH,,,,,,,D,,,,
32,130086,35049001910000.000000000000000,PI,35049001910000.000000000000000,,PHILLIPS PETRLM CO,PHILLIPS PETROLEUM COMPANY,TARRANT,1,WILDCAT,OKLAHOMA,GARVIN,,VERTICAL,D&A,,SO OKLA FOLDED BELT,,,,10/23/1947 00:00:00,8257.000000000000000,,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WF,0,UNKNOWN,,PI,,SYLVAN,,975.000000000000000,DF,,,11/2/1947 00:00:00,4/13/1948 00:00:00,,,4/15/1948 00:00:00,11/11/2014 00:00:00,,,34.635618600000001,-97.424700000000001,IH,,,,,,,D,,,,
33,130100,35049002040000.000000000000000,PI,35049002040000.000000000000000,,SUPERIOR OIL CO ETAL,MERIT ENERGY COMPANY,SLAY,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,A,SO OKLA FOLDED BELT,,,,8/10/1952 00:00:00,9900.000000000000000,9890,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,UNKNOWN,HART /GOLDEN TREND/,1106.000000000000000,KB,1091.000000000000000,,8/20/1952 00:00:00,10/28/1952 00:00:00,,,10/15/1952 00:00:00,10/9/2014 00:00:00,,,34.784599200000002,-97.613343599999993,IH,,,,,,,D,,,,
34,130101,35049002050000.000000000000000,PI,35049002050000.000000000000000,,MAGNOLIA PET CO,MERIT ENERGY COMPANY,DUNCAN-ALCORN UNIT,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,A,SO OKLA FOLDED BELT,,,,8/15/1952 00:00:00,9180.000000000000000,,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,SPRINGER,SPRINGER,1083.000000000000000,KB,1072.000000000000000,,8/25/1952 00:00:00,11/12/1952 00:00:00,,,1/15/1973 00:00:00,2/6/2015 00:00:00,,,34.759946599999999,-97.563564799999995,IH,,,,,,,D,,,,
35,130164,35049002520000.000000000000000,PI,35049002520000.000000000000000,,MID CONTINENT,HUMBLE OIL COMPANY,HART,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,D&A,P,SO OKLA FOLDED BELT,,,,5/16/1946 00:00:00,7179.000000000000000,,,,NEW POOL WILDCAT,WP,NEW POOL WILDCAT-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WP,0,,,PI,,DEESE,,1070.000000000000000,DF,,,5/26/1946 00:00:00,7/16/1946 00:00:00,,,7/15/1946 00:00:00,2/11/2015 00:00:00,,,34.710735999999997,-97.476014399999997,IH,,,,,,,D,,,,
36,130165,35049002520001.000000000000000,PI,35049002520001.000000000000000,,CARTER OIL COMPANY,HUMBLE OIL COMPANY,HART,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL-WO,P,SO OKLA FOLDED BELT,,,,11/18/1946 00:00:00,7721.000000000000000,,,,DEVELOPMENT DEEPENING,D D,DEVELOPMENT WELL-OIL,DO,1,,,PI,,HUNTON,DEESE,1070.000000000000000,DF,,,11/28/1946 00:00:00,1/7/1947 00:00:00,,,4/3/1997 00:00:00,7/30/2015 00:00:00,,,34.710735999999997,-97.476014399999997,IH,,,,,,,D,,,,
37,130171,35049002580000.000000000000000,PI,35049002580000.000000000000000,,SUN OIL COMPANY,SUN OIL COMPANY,STUBBLEFIELD,1,WILDCAT,OKLAHOMA,GARVIN,,VERTICAL,D&A-G,,SO OKLA FOLDED BELT,,,,5/16/1954 00:00:00,7547.000000000000000,7544,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WF,0,UNKNOWN,,PI,,SPRINGER,,1046.000000000000000,KB,1036.000000000000000,,5/26/1954 00:00:00,6/30/1954 00:00:00,,,6/15/1954 00:00:00,2/6/2015 00:00:00,,,34.613797099999999,-97.433459099999993,IH,,,,,,,D,,,,
38,130183,35049002690000.000000000000000,PI,35049002690000.000000000000000,,CARTER OIL COMPANY,CARTER OIL COMPANY,BOHANNAN,2,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,J&A-O,,SO OKLA FOLDED BELT,,,,3/28/1947 00:00:00,8134.000000000000000,,,,WILDCAT OUTPOST,WO,WILDCAT OUTPOST-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WO,8,UNKNOWN,,PI,,ORDOVICIAN,,1052.000000000000000,KB,,,4/7/1947 00:00:00,7/15/1947 00:00:00,,,7/15/1947 00:00:00,10/9/2014 00:00:00,,,34.647409300000000,-97.377551100000005,IH,,,,,,,D,,,,
39,130222,35049003070000.000000000000000,PI,35049003070000.000000000000000,,DEARING & ELLISON,DEARING & ELLISON,HAWKINS,1,WILDCAT,OKLAHOMA,GARVIN,,VERTICAL,D&A-O,,SO OKLA FOLDED BELT,,,,6/5/1946 00:00:00,9218.000000000000000,9218,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WF,0,WILCOX 2,8900.000000000000000,,,HUNTON,,1019.000000000000000,DF,1000.000000000000000,,6/15/1946 00:00:00,10/22/1946 00:00:00,,,3/15/1973 00:00:00,1/13/2015 00:00:00,,,34.803499000000002,-97.537625500000004,IH,,,,,,,D,,,,
